1596007191,2,0,0,"C9,CJ,CA,C2;S4,S5,S2,S3;C8,C3,C7,C4;CK,C6,SA,C10;SJ,SK,S9,S6;D7,D9,D2,D3;S7,DA,S8,S10;C5,H5,SQ,CQ;H8,H2,H10,H4;D10,HK,D5,D6;H6,DQ,HJ,H7;H9,HQ,D8,HA;DK,H3,D4,DJ"
1596007191,2,0,0,"CA,C10,C3,C2;S8,S10,S7,SJ;D3,D5,D8,D4;C9,C6,SQ,C4;SK,D2,D7,D6;CK,C7,HA,C8;C5,DA,SA,CJ;H10,D10,S4,CQ;H6,H5,H3,H7;H4,H9,DK,H8;DQ,HK,S2,S3;DJ,HQ,S6,S5;S9,D9,HJ,H2"
1596007191,2,1,0,"CQ,CA,C9,C2;S2,S5,S3,S4;D5,D3,D6,D2;C5,C3,C6,C4;S7,SQ,S8,S9;SK,S10,S6,SJ;DK,SA,DA,D4;HJ,C10,C8,CJ;H7,H10,H5,H4;C7,HA,D9,D7;DJ,H8,H6,H2;HK,H3,D10,H9;DQ,D8,HQ,CK"
1596007191,2,0,0,"CA,C9,CQ,C2;C7,C8,C3,C10;SQ,C6,CJ,CK;D3,D4,D2,D5;D6,D7,D8,D9;DQ,DK,HQ,DJ;H7,H5,H8,H3;S2,S6,S7,S3;D10,SK,S5,DA;S8,S10,H10,S9;H6,SA,S4,C4;H4,HA,H9,HJ;HK,C5,H2,SJ"
1596007191,2,3,0,"CJ,CQ,CA,C2;CK,C4,C7,C3;S6,S4,S7,S2;DJ,DA,D5,D2;D10,DQ,D9,DK;C6,SQ,H10,C8;C9,SA,H6,C10;C5,S10,S8,S3;S9,S5,D4,SJ;H5,H7,H4,H2;HJ,HK,D7,H8;D6,HA,H9,HQ;H3,D8,D3,SK"
1596007191,2,0,0,"CA,C10,CK,C2;D5,D3,D4,D2;D10,D9,DJ,DQ;C6,CJ,C5,C4;D8,SQ,D7,D6;C7,C3,SK,C8;C9,HA,DA,CQ;H8,H6,H9,H2;S3,S6,S2,S7;S8,S5,HQ,S9;SJ,S4,HJ,S10;H7,H4,HK,H10;SA,H5,H3,DK"
1596007191,2,2,0,"CQ,CK,CA,C2;C10,C9,C8,CJ;D7,D4,D3,D5;S7,S5,S6,S2;C5,SQ,HK,C3;S9,S8,HA,S3;HQ,H2,H3,H4;C6,SJ,SK,S4;HJ,H8,H9,H5;H6,DA,SA,S10;H10,DK,D9,H7;D6,C7,D8,D10;D2,C4,DQ,DJ"
1596007191,2,23,0,"C5,CA,CK,C2;S4,S5,S2,S3;SK,C8,C3,C4;S9,S10,S7,S6;HA,C10,C9,CJ;D8,D6,D9,D2;H6,H5,H7,H3;C6,SQ,S8,C7;DA,SA,H9,CQ;H4,H8,H2,H10;HK,D4,D3,D5;HQ,DJ,D7,D10;DQ,DK,HJ,SJ"
1596007191,2,0,0,"C7,CK,CQ,C2;S2,S3,S8,S4;S7,SQ,S9,S10;C3,C5,C6,C8;D5,D7,D2,D4;S6,SA,CA,SJ;D3,DQ,D9,D6;C9,SK,C10,C4;H10,DA,HA,CJ;H4,S5,H2,H5;H7,DK,HJ,H8;HQ,H6,D8,D10;H9,H3,DJ,HK"
1596007191,2,22,0,"CA,CJ,CK,C2;DJ,D5,D3,D6;C4,SA,C6,C7;CQ,H8,C5,C8;S5,S2,S6,S3;DQ,D9,D10,DK;D8,D7,SK,DA;S9,S7,S10,SJ;H3,H7,H5,H9;HJ,H6,H2,H10;H4,S8,HK,HA;D2,C9,SQ,D4;S4,C3,HQ,C10"
1596007191,2,13,0,"C7,CA,CJ,C2;D9,D8,D10,DJ;C10,C6,C5,C8;C3,C4,CQ,C9;S5,S8,S2,S3;DA,SA,SQ,CK;D6,SK,D5,D2;S7,S10,HA,S6;H6,DQ,S4,S9;H4,H2,H7,H5;HK,H3,HQ,SJ;D7,DK,H9,H10;D4,D3,H8,HJ"
1596007191,2,2,0,"CA,DA,CK,C2;D6,D5,D7,D8;DJ,DQ,D4,DK;HK,C10,C4,C3;S9,SA,D3,D9;H7,S4,S6,S3;S10,H6,S2,S5;H3,S7,SJ,S8;H9,CQ,H4,H2;C8,HQ,H5,H8;H10,SQ,C7,C9;D10,HA,C6,CJ;D2,HJ,C5,SK"
1596007191,2,0,0,"CJ,CQ,CK,C2;SJ,SA,S2,S5;DQ,DK,D6,DA;C10,H9,C4,C3;H5,C5,C8,C9;D3,D2,SK,D4;D8,CA,HA,D5;S4,HK,S7,S6;DJ,HQ,H7,D7;S10,H6,SQ,S8;H4,HJ,H2,H8;C7,H10,D10,S3;C6,D9,H3,S9"
1596007191,2,0,0,"CJ,CA,CQ,C2;HK,S7,S3,S4;S2,S9,H9,S5;H3,H2,H6,H4;H8,C9,H7,H10;C5,C7,C8,C4;SK,HA,C6,S6;D8,D10,DJ,D3;SQ,H5,DK,S8;D4,D5,C10,D6;D2,DQ,S10,DA;CK,D9,HQ,SJ;C3,D7,HJ,SA"
